Stage,Criterion,l,m,u,centroid
Farm,Cost,0.18760462955139806,0.45161351812469813,0.9578907881986688,0.5323696452915884
Farm,Time,0.06434569379032641,0.13421561924064512,0.32407504266972903,0.1742121185669002
Farm,Quality,0.10173315049631369,0.24706950067900862,0.6034333837759471,0.31741201165042315
Trader,Cost,0.18104526132207047,0.43890929860255995,0.9353550984357577,0.5184365527867961
Trader,Time,0.06227002672658332,0.129868617385515,0.3135500256444544,0.1685628899188509
Trader,Quality,0.09805774550435993,0.2392142676503847,0.5859846722202948,0.3077522284583465
Mandi,Cost,0.186037544523312,0.4482110350471298,0.9512026587202722,0.5284837460969046
Mandi,Time,0.06449019051677597,0.13413996372502848,0.3232704267208122,0.17396686032087225
Mandi,Quality,0.10119880117817512,0.24455522147356712,0.595319723151146,0.31369124860096276
Retail,Cost,0.17526224032401,0.42519579329705,0.9065651040560531,0.502341045892371
Retail,Time,0.059239698134353404,0.1259801061852665,0.308172897731681,0.1644642340171003
Retail,Quality,0.1021961527776879,0.24493815778541794,0.592947983483729,0.3133607646822783
Transport,Cost,0.17957233940983033,0.4366879884068419,0.9325364881669836,0.5162656053278853
Transport,Time,0.06524957955175774,0.13695106746191701,0.33208218879708146,0.1780942786035854
Transport,Quality,0.09781968104133079,0.2376019042320655,0.5803695444056244,0.3052637098930069
